subjcet,name,x,y,labelx,labely,error
p11,p11\face\1.jpg,292.5606,232.08035,405.0,77.0,191.55294633599348
p11,p11\face\2.jpg,1320.7095,598.88696,1133.0,125.0,509.70943009228307
p11,p11\face\3.jpg,977.8994,345.5223,892.0,308.0,93.73704077097804
p11,p11\face\4.jpg,1000.1689,682.86066,998.0,664.0,18.984952891152954
p11,p11\face\5.jpg,1235.7,380.56488,1184.0,80.0,304.9789055205294
p11,p11\face\6.jpg,820.95624,695.266,746.0,566.0,149.42601769981357
p11,p11\face\7.jpg,806.6094,686.5685,880.0,560.0,146.30708688192448
p11,p11\face\8.jpg,134.78503,329.44153,131.0,239.0,90.52069428451153
p11,p11\face\9.jpg,169.03426,393.89102,223.0,367.0,60.29451642510702
p11,p11\face\10.jpg,1266.4385,224.24052,1143.0,354.0,179.09376908480093
p11,p11\face\11.jpg,565.2284,205.91858,408.0,40.0,228.58202507524516
p11,p11\face\12.jpg,1032.1946,258.5332,903.0,194.0,144.41528117723553
p11,p11\face\13.jpg,349.13776,144.64769,152.0,196.0,203.71636033649827
p11,p11\face\14.jpg,219.70956,248.69174,218.0,166.0,82.70941402264164
p11,p11\face\15.jpg,753.7772,287.2021,618.0,101.0,230.44884871702007
p11,p11\face\16.jpg,743.7191,662.14417,631.0,461.0,230.57445245516686
p11,p11\face\17.jpg,648.3193,826.14307,545.0,405.0,433.6315940692052
p11,p11\face\18.jpg,1273.3193,818.5165,993.0,606.0,351.7700776075191
p11,p11\face\19.jpg,47.93062,624.0458,15.0,420.0,206.68600694955137
p11,p11\face\20.jpg,844.34717,162.1353,818.0,90.0,76.79632025486312
p11,p11\face\21.jpg,208.2167,348.35492,317.0,235.0,157.10870291377879
p11,p11\face\22.jpg,695.6546,464.63812,663.0,733.0,270.34129181924834
p11,p11\face\23.jpg,449.59637,369.82257,426.0,670.0,301.10343945229187
p11,p11\face\24.jpg,513.7256,607.20905,524.0,272.0,335.3664623400796
p11,p11\face\25.jpg,585.58923,845.2584,564.0,553.0,293.0547357150196
p11,p11\face\26.jpg,213.14569,452.92346,197.0,499.0,48.82346477761103
p11,p11\face\27.jpg,69.76833,234.63956,243.0,247.0,173.67207110312816
p11,p11\face\28.jpg,501.025,642.3689,630.0,543.0,162.81501917436856
p11,p11\face\29.jpg,253.49796,578.6947,349.0,195.0,395.40139810703755
p11,p11\face\30.jpg,111.772575,861.87415,37.0,716.0,163.92133212306445
p11,p11\face\31.jpg,277.6268,349.91513,341.0,19.0,336.92875266886915
p11,p11\face\32.jpg,400.95148,948.0925,502.0,791.0,186.78561825659918
p11,p11\face\33.jpg,1192.6304,698.5604,1231.0,520.0,182.6364002259681
p11,p11\face\34.jpg,193.07068,428.02704,122.0,198.0,240.75606008728005
p11,p11\face\35.jpg,238.94891,83.93355,353.0,213.0,172.2376231493137
p11,p11\face\36.jpg,1304.0673,377.74493,1169.0,234.0,197.24545503318956
p11,p11\face\37.jpg,1216.6246,565.98413,1195.0,293.0,273.83929765009987
p11,p11\face\38.jpg,1352.0,272.24084,1248.0,429.0,188.1207952187902
p11,p11\face\39.jpg,744.1011,511.8558,821.0,271.0,252.8338680710122
p11,p11\face\40.jpg,805.6279,419.7268,716.0,33.0,396.9770734878779
p11,p11\face\41.jpg,1080.102,639.5719,1107.0,423.0,218.2358511307205
p11,p11\face\42.jpg,133.40501,527.74713,7.0,288.0,271.0293601484902
p11,p11\face\43.jpg,117.93236,865.9501,194.0,588.0,288.17101042610096
p11,p11\face\44.jpg,1119.4397,681.9208,894.0,466.0,312.1615667406864
p11,p11\face\45.jpg,534.8518,741.1953,585.0,797.0,75.02669121406895
p11,p11\face\46.jpg,1434.9832,921.19055,1061.0,673.0,448.8451326738433
p11,p11\face\47.jpg,88.51731,645.4143,23.0,744.0,118.3708420600276
p11,p11\face\48.jpg,359.2082,800.06433,317.0,660.0,146.28584630142794
p11,p11\face\49.jpg,1348.4021,243.72847,1129.0,18.0,314.7866340872814
p11,p11\face\50.jpg,724.5239,311.62045,458.0,113.0,332.3929691457086
p11,p11\face\51.jpg,1000.4062,796.0242,880.0,669.0,175.0222530494337
p11,p11\face\52.jpg,1265.3707,796.4001,1217.0,700.0,107.85501426249269
p11,p11\face\53.jpg,970.97546,166.99791,864.0,86.0,134.1805133253335
p11,p11\face\54.jpg,350.13397,244.47435,228.0,714.0,485.1505243220912
p11,p11\face\55.jpg,766.15686,812.9833,800.0,715.0,103.6633062114435
p11,p11\face\56.jpg,399.97375,175.5773,534.0,0.0,220.88554021257255
p11,p11\face\57.jpg,371.84457,553.15967,464.0,151.0,412.5833627886612
p11,p11\face\58.jpg,257.41833,337.15137,143.0,293.0,122.641340654365
p11,p11\face\59.jpg,767.2944,795.495,727.0,713.0,91.80991529717801
p11,p11\face\60.jpg,1267.7145,250.28809,1117.0,17.0,277.73762348662814
