subjcet,name,x,y,labelx,labely,error
p11,p11\face\1.jpg,147.46695,232.9173,405.0,77.0,301.0539429446158
p11,p11\face\2.jpg,1452.4385,494.72052,1133.0,125.0,488.6043421061667
p11,p11\face\3.jpg,1087.582,194.7222,892.0,308.0,226.01812185364696
p11,p11\face\4.jpg,902.61487,737.05505,998.0,664.0,120.14726071705714
p11,p11\face\5.jpg,1195.8882,251.13858,1184.0,80.0,171.55099005106325
p11,p11\face\6.jpg,843.1509,607.5519,746.0,566.0,105.66386119435538
p11,p11\face\7.jpg,868.7579,605.4536,880.0,560.0,46.82324747287665
p11,p11\face\8.jpg,84.52924,297.60468,131.0,239.0,74.79330894204374
p11,p11\face\9.jpg,126.28104,303.3682,223.0,367.0,115.77376409672875
p11,p11\face\10.jpg,1351.0012,159.22397,1143.0,354.0,284.960016383878
p11,p11\face\11.jpg,639.1111,141.94998,408.0,40.0,252.59875853317251
p11,p11\face\12.jpg,1179.4083,266.5522,903.0,194.0,285.77155703900974
p11,p11\face\13.jpg,368.51605,136.22913,152.0,196.0,224.6146874371754
p11,p11\face\14.jpg,187.41606,126.58781,218.0,166.0,49.88685440261292
p11,p11\face\15.jpg,665.32556,232.25539,618.0,101.0,139.52664816039623
p11,p11\face\16.jpg,597.3863,680.34875,631.0,461.0,221.90934593319858
p11,p11\face\17.jpg,682.50903,750.4004,545.0,405.0,371.76626561591087
p11,p11\face\18.jpg,1431.1787,685.5513,993.0,606.0,445.3414244992262
p11,p11\face\19.jpg,54.660866,652.6864,15.0,420.0,236.04225323551714
p11,p11\face\20.jpg,782.97833,64.57393,818.0,90.0,43.27819681243591
p11,p11\face\21.jpg,226.7435,368.47144,317.0,235.0,161.1237453888315
p11,p11\face\22.jpg,772.44806,351.40155,663.0,733.0,396.9839417407208
p11,p11\face\23.jpg,456.5067,311.753,426.0,670.0,359.5435691609572
p11,p11\face\24.jpg,463.04852,639.20514,524.0,272.0,372.22934798320244
p11,p11\face\25.jpg,612.08923,794.72565,564.0,553.0,246.46270160259544
p11,p11\face\26.jpg,120.199394,596.2379,197.0,499.0,123.90942224816884
p11,p11\face\27.jpg,20.369617,246.6373,243.0,247.0,222.63068493583717
p11,p11\face\28.jpg,474.0523,442.1571,630.0,543.0,185.71206922612757
p11,p11\face\29.jpg,138.36853,634.56824,349.0,195.0,487.42778311253454
p11,p11\face\30.jpg,105.905914,922.86536,37.0,716.0,218.03967708022776
p11,p11\face\31.jpg,360.19543,270.05566,341.0,19.0,251.78842339601317
p11,p11\face\32.jpg,483.53723,968.56696,502.0,791.0,178.52421820127094
p11,p11\face\33.jpg,1292.6108,565.5062,1231.0,520.0,76.59446399096021
p11,p11\face\34.jpg,68.58802,271.115,122.0,198.0,90.54635057009476
p11,p11\face\35.jpg,190.8862,71.08589,353.0,213.0,215.45417146112536
p11,p11\face\36.jpg,1453.9518,329.4886,1169.0,234.0,300.5255162835595
p11,p11\face\37.jpg,1157.9796,601.538,1195.0,293.0,310.7510559113195
p11,p11\face\38.jpg,1456.1301,206.26933,1248.0,429.0,304.8394556975852
p11,p11\face\39.jpg,847.0403,433.4032,821.0,271.0,164.47764143265795
p11,p11\face\40.jpg,869.183,256.8804,716.0,33.0,271.2700885418442
p11,p11\face\41.jpg,1098.2605,536.79126,1107.0,423.0,114.12637766145475
p11,p11\face\42.jpg,93.21091,543.8237,7.0,288.0,269.959444292101
p11,p11\face\43.jpg,138.99376,776.89844,194.0,588.0,196.74427207354728
p11,p11\face\44.jpg,1079.5962,610.82324,894.0,466.0,235.4139306625672
p11,p11\face\45.jpg,589.5141,775.46484,585.0,797.0,22.003181920995825
p11,p11\face\46.jpg,1629.2236,868.04553,1061.0,673.0,600.7668797045989
p11,p11\face\47.jpg,96.369156,608.66815,23.0,744.0,153.94070997465226
p11,p11\face\48.jpg,316.35944,844.31885,317.0,660.0,184.3199600050141
p11,p11\face\49.jpg,1408.6584,157.03265,1129.0,18.0,312.3122185810219
p11,p11\face\50.jpg,529.44196,191.83896,458.0,113.0,106.39330409499462
p11,p11\face\51.jpg,1096.4113,860.8274,880.0,669.0,289.1912483547868
p11,p11\face\52.jpg,1383.1517,752.92206,1217.0,700.0,174.3764392861748
p11,p11\face\53.jpg,1078.4698,84.61346,864.0,86.0,214.47433012192857
p11,p11\face\54.jpg,385.63666,300.62726,228.0,714.0,442.40970123856914
p11,p11\face\55.jpg,863.9446,785.5864,800.0,715.0,95.24364828723488
p11,p11\face\56.jpg,439.75577,164.74564,534.0,0.0,189.797527809242
p11,p11\face\57.jpg,395.15555,717.0143,464.0,151.0,570.1856879561254
p11,p11\face\58.jpg,282.17853,451.40686,143.0,293.0,210.86345922776664
p11,p11\face\59.jpg,805.41675,830.9711,727.0,713.0,141.65583291908598
p11,p11\face\60.jpg,1195.8944,155.78984,1117.0,17.0,159.6463192987079
p11,p11\face\61.jpg,1224.3259,177.42377,1066.0,69.0,191.89271090898686
p11,p11\face\62.jpg,365.58252,875.5811,446.0,745.0,153.35709451310038
p11,p11\face\63.jpg,1235.1301,672.29785,1016.0,571.0,241.4109890311541
p11,p11\face\64.jpg,650.614,68.554565,634.0,20.0,51.31833287493369
