subjcet,name,x,y,labelx,labely,error
p11,p11\face\1.jpg,173.4772,223.05716,405.0,77.0,273.74349307335143
p11,p11\face\2.jpg,1312.6293,587.02325,1133.0,125.0,495.71378460761
p11,p11\face\3.jpg,983.43225,243.09126,892.0,308.0,112.12938954618454
p11,p11\face\4.jpg,884.7379,689.4787,998.0,664.0,116.09247980462602
p11,p11\face\5.jpg,1145.6497,349.90555,1184.0,80.0,272.6165031917547
p11,p11\face\6.jpg,803.4331,614.4104,746.0,566.0,75.11410265701608
p11,p11\face\7.jpg,701.20105,698.46515,880.0,560.0,226.1452278127929
p11,p11\face\8.jpg,94.53844,306.7738,131.0,239.0,76.9593033687286
p11,p11\face\9.jpg,197.42525,319.82272,223.0,367.0,53.663425008042026
p11,p11\face\10.jpg,1229.2003,192.79164,1143.0,354.0,182.8076281402119
p11,p11\face\11.jpg,506.3798,182.53981,408.0,40.0,173.19405211351804
p11,p11\face\12.jpg,935.4313,294.2311,903.0,194.0,105.34734215916413
p11,p11\face\13.jpg,324.72964,186.61673,152.0,196.0,172.98431784051988
p11,p11\face\14.jpg,192.75679,214.64584,218.0,166.0,54.80545315306224
p11,p11\face\15.jpg,572.7826,271.30365,618.0,101.0,176.20427709231407
p11,p11\face\16.jpg,647.27075,657.14246,631.0,461.0,196.81616184272062
p11,p11\face\17.jpg,618.75964,801.8114,545.0,405.0,403.608431062831
p11,p11\face\18.jpg,1300.516,787.142,993.0,606.0,356.90126873548655
p11,p11\face\19.jpg,40.49401,554.2487,15.0,420.0,136.64795667151412
p11,p11\face\20.jpg,834.9421,113.20018,818.0,90.0,28.727727871044944
p11,p11\face\21.jpg,172.32484,332.20178,317.0,235.0,174.29597223544783
p11,p11\face\22.jpg,698.9602,419.83972,663.0,733.0,315.2181660176012
p11,p11\face\23.jpg,415.4721,345.13977,426.0,670.0,325.03077979246825
p11,p11\face\24.jpg,425.86987,610.9408,524.0,272.0,352.86028795048617
p11,p11\face\25.jpg,563.96606,831.4276,564.0,553.0,278.42761626677765
p11,p11\face\26.jpg,192.487,473.65485,197.0,499.0,25.743815151501682
p11,p11\face\27.jpg,50.828148,234.36598,243.0,247.0,192.586699225959
p11,p11\face\28.jpg,403.94473,593.89685,630.0,543.0,231.71420469244003
p11,p11\face\29.jpg,180.70033,560.73816,349.0,195.0,402.60301476764926
p11,p11\face\30.jpg,77.131004,859.8402,37.0,716.0,149.33353242406744
p11,p11\face\31.jpg,302.2795,293.28638,341.0,19.0,277.00593687229883
p11,p11\face\32.jpg,432.54492,937.2273,502.0,791.0,161.88400071501815
p11,p11\face\33.jpg,1259.6345,727.687,1231.0,520.0,209.65169217359062
p11,p11\face\34.jpg,123.99561,395.18494,122.0,198.0,197.19503749460836
p11,p11\face\35.jpg,209.41626,79.70773,353.0,213.0,195.91609731591737
p11,p11\face\36.jpg,1206.9641,364.10278,1169.0,234.0,135.52862359110713
p11,p11\face\37.jpg,1160.2163,563.7138,1195.0,293.0,272.939310447396
p11,p11\face\38.jpg,1317.0693,199.01826,1248.0,429.0,240.1294898070622
p11,p11\face\39.jpg,710.447,477.67413,821.0,271.0,234.38464146835645
p11,p11\face\40.jpg,708.78625,413.5739,716.0,33.0,380.6422615133532
p11,p11\face\41.jpg,1004.20404,625.97217,1107.0,423.0,227.518594707114
p11,p11\face\42.jpg,114.653435,549.72833,7.0,288.0,283.0035059411809
p11,p11\face\43.jpg,118.48298,846.62415,194.0,588.0,269.4239514686844
p11,p11\face\44.jpg,1061.2627,651.7435,894.0,466.0,249.95493343801
p11,p11\face\45.jpg,529.4077,777.06616,585.0,797.0,59.05810788894168
p11,p11\face\46.jpg,1436.8485,965.8798,1061.0,673.0,476.4878835028232
p11,p11\face\47.jpg,89.87486,675.7391,23.0,744.0,95.56045615865382
p11,p11\face\48.jpg,329.46082,814.51733,317.0,660.0,155.01896305371804
p11,p11\face\49.jpg,1293.1428,174.49313,1129.0,18.0,226.78837878074793
p11,p11\face\50.jpg,560.9565,291.97534,458.0,113.0,206.4756909117875
p11,p11\face\51.jpg,961.44403,860.39197,880.0,669.0,208.00003756009275
p11,p11\face\52.jpg,1161.4491,806.192,1217.0,700.0,119.84425928835724
p11,p11\face\53.jpg,977.86017,102.55875,864.0,86.0,115.05794226443041
p11,p11\face\54.jpg,352.33603,297.0182,228.0,714.0,435.12444340671095
p11,p11\face\55.jpg,816.0062,811.6146,800.0,715.0,97.93153200546543
p11,p11\face\56.jpg,372.48016,179.39978,534.0,0.0,241.3978821365258
p11,p11\face\57.jpg,341.39578,572.1336,464.0,151.0,438.6175013608098
p11,p11\face\58.jpg,176.36859,328.3793,143.0,293.0,48.63288968367369
p11,p11\face\59.jpg,794.63794,833.6056,727.0,713.0,138.27725629826114
p11,p11\face\60.jpg,1098.756,210.23383,1117.0,17.0,194.09316384149133
p11,p11\face\61.jpg,1107.9148,175.5321,1066.0,69.0,114.48117083853789
p11,p11\face\62.jpg,472.07642,858.44366,446.0,745.0,116.40208046223873
p11,p11\face\63.jpg,1146.5771,699.8644,1016.0,571.0,183.45686652453213
p11,p11\face\64.jpg,533.9172,65.733055,634.0,20.0,110.03674368563212
p11,p11\face\65.jpg,1289.2539,262.79678,1115.0,5.0,311.1649105578905
p11,p11\face\66.jpg,484.71933,344.32233,529.0,231.0,121.66646020601775
p11,p11\face\67.jpg,552.1981,477.185,473.0,68.0,416.77896195105626
p11,p11\face\68.jpg,204.18106,613.3899,316.0,452.0,196.34197685416126
p11,p11\face\69.jpg,68.74332,492.6053,219.0,285.0,256.2752883863366
p11,p11\face\70.jpg,344.09583,584.2977,131.0,562.0,214.25923441301194
p11,p11\face\71.jpg,230.67023,591.4484,361.0,366.0,260.4089932202803
p11,p11\face\72.jpg,449.4867,274.60037,416.0,139.0,139.6739786520739
p11,p11\face\73.jpg,617.49713,704.03577,802.0,763.0,193.6958694545395
p11,p11\face\74.jpg,88.99388,230.38382,362.0,133.0,289.85504189594496
p11,p11\face\75.jpg,1068.5891,64.91182,907.0,81.0,162.388026325065
p11,p11\face\76.jpg,902.8345,731.0657,788.0,604.0,171.26774543094797
p11,p11\face\77.jpg,48.30571,80.88633,70.0,71.0,23.84075740967949
p11,p11\face\78.jpg,1209.2175,648.0326,1198.0,757.0,109.54327234305629
p11,p11\face\79.jpg,1315.7305,158.26732,959.0,31.0,378.7526815086594
p11,p11\face\80.jpg,215.2864,819.64417,165.0,710.0,120.62572457683933
p11,p11\face\81.jpg,766.5856,635.34906,680.0,359.0,289.596041387827
p11,p11\face\82.jpg,1167.4652,796.76855,1059.0,797.0,108.46545929177178
p11,p11\face\83.jpg,143.54807,351.37,426.0,360.0,282.58374035407627
p11,p11\face\84.jpg,850.4685,808.59106,686.0,613.0,255.54989728035503
p11,p11\face\85.jpg,826.1304,775.31366,742.0,411.0,373.90153700539935
p11,p11\face\86.jpg,273.1791,548.59204,468.0,30.0,553.9791568732528
p11,p11\face\87.jpg,572.2622,265.54474,540.0,254.0,34.26559471897887
p11,p11\face\88.jpg,812.63055,575.1736,778.0,703.0,132.43438823621304
p11,p11\face\89.jpg,64.91944,503.461,2.0,486.0,65.29734049546926
p11,p11\face\90.jpg,1092.4065,869.0288,1236.0,707.0,216.50041498228126
p11,p11\face\91.jpg,412.4396,771.44653,398.0,648.0,124.28816849614046
p11,p11\face\92.jpg,797.24005,489.02863,928.0,138.0,374.5921115026316
p11,p11\face\93.jpg,1380.3817,823.80945,1126.0,359.0,529.865902847126
p11,p11\face\94.jpg,118.78167,833.75073,153.0,773.0,69.72478682963111
p11,p11\face\95.jpg,969.8452,698.7715,890.0,117.0,587.2250952573468
p11,p11\face\96.jpg,529.6301,306.7841,586.0,606.0,304.47943536879467
p11,p11\face\97.jpg,1293.756,533.4231,1143.0,259.0,313.10606230157856
p11,p11\face\98.jpg,323.9646,175.2953,336.0,24.0,151.77325552860094
p11,p11\face\99.jpg,40.241005,468.45837,45.0,323.0,145.53620549325518
p11,p11\face\100.jpg,82.91506,816.833,60.0,601.0,217.04605106117458
p11,p11\face\101.jpg,295.97913,755.4635,96.0,677.0,214.82125564059064
p11,p11\face\102.jpg,429.5645,369.4691,445.0,201.0,169.17472014902228
p11,p11\face\103.jpg,1159.337,818.4273,1142.0,580.0,239.05680548773339
p11,p11\face\104.jpg,187.18204,356.0627,238.0,431.0,90.54315269527564
p11,p11\face\105.jpg,620.6941,613.39984,600.0,447.0,167.6816994896879
p11,p11\face\106.jpg,1184.7253,813.5143,1160.0,798.0,29.189646476546805
p11,p11\face\107.jpg,1096.898,529.5505,1067.0,377.0,155.45267818937697
p11,p11\face\108.jpg,544.17334,553.07697,547.0,84.0,469.0854799500833
p11,p11\face\109.jpg,250.90695,863.5226,129.0,699.0,204.76568163391053
p11,p11\face\110.jpg,775.3273,887.84985,878.0,727.0,190.8254888307639
p11,p11\face\111.jpg,702.8529,470.77515,381.0,325.0,353.3265906884168
p11,p11\face\112.jpg,1328.2888,881.8373,1195.0,686.0,236.89269393018435
p11,p11\face\113.jpg,654.07874,238.709,652.0,538.0,299.2982286741771
p11,p11\face\114.jpg,301.904,249.46695,278.0,453.0,204.93195326437018
p11,p11\face\115.jpg,584.6825,184.76628,660.0,271.0,114.49445606119976
p11,p11\face\116.jpg,1390.1853,962.70715,1128.0,682.0,384.10628818726724
p11,p11\face\117.jpg,97.15359,312.8138,43.0,64.0,254.6388066948948
p11,p11\face\118.jpg,403.10858,831.2112,273.0,508.0,348.4160027000769
p11,p11\face\119.jpg,1063.3472,879.6138,1084.0,732.0,149.0515457190901
p11,p11\face\120.jpg,131.4833,869.4664,217.0,776.0,126.68490993898997
p11,p11\face\121.jpg,473.49408,664.5572,103.0,796.0,393.1196740497733
p11,p11\face\122.jpg,357.00623,355.2713,413.0,156.0,206.9887715855621
p11,p11\face\123.jpg,969.96313,835.5742,950.0,541.0,295.24988092715637
p11,p11\face\124.jpg,63.04619,574.67206,274.0,512.0,220.0665737339499
p11,p11\face\125.jpg,96.40472,284.76413,40.0,334.0,74.87097625874462
p11,p11\face\126.jpg,180.34668,843.824,69.0,599.0,268.95512520678983
p11,p11\face\127.jpg,714.38074,852.65125,597.0,589.0,288.60043474932604
p11,p11\face\128.jpg,591.18304,401.63452,604.0,491.0,90.27991680825947
p11,p11\face\129.jpg,616.0226,717.5278,481.0,451.0,298.7777706757984
p11,p11\face\130.jpg,1148.4957,354.86548,1096.0,540.0,192.4333488509723
p11,p11\face\131.jpg,1302.3346,517.297,1129.0,173.0,385.467634017436
p11,p11\face\132.jpg,887.1338,609.03,972.0,212.0,405.9989224123631
p11,p11\face\133.jpg,175.82822,134.70737,240.0,163.0,70.13195222333576
p11,p11\face\134.jpg,655.402,981.17737,467.0,772.0,281.51461163232716
p11,p11\face\135.jpg,576.07855,674.8004,481.0,644.0,99.94296713469888
p11,p11\face\136.jpg,1269.3119,136.45836,1267.0,120.0,16.619940195721973
p11,p11\face\137.jpg,41.423645,528.7859,90.0,286.0,247.59776320425433
p11,p11\face\138.jpg,764.8694,562.0328,729.0,400.0,165.95551926645888
p11,p11\face\139.jpg,30.674097,761.74536,90.0,623.0,150.89677892726868
p11,p11\face\140.jpg,812.59094,789.2401,733.0,704.0,116.62159192501619
p11,p11\face\141.jpg,90.06157,346.17572,398.0,355.0,308.064826781637
p11,p11\face\142.jpg,1190.2976,413.9704,1063.0,65.0,371.46334358183987
p11,p11\face\143.jpg,1232.3916,601.41986,1080.0,418.0,238.46602876510525
p11,p11\face\144.jpg,632.7084,285.86438,679.0,148.0,145.42868339198083
p11,p11\face\145.jpg,1304.8684,677.50806,1247.0,638.0,70.06881731666554
p11,p11\face\146.jpg,892.9227,510.06308,945.0,217.0,297.6541748615329
p11,p11\face\147.jpg,1366.7224,645.9882,1242.0,380.0,293.7778311283886
p11,p11\face\148.jpg,154.59734,77.91084,43.0,137.0,126.27546927501398
p11,p11\face\149.jpg,202.80292,694.34607,78.0,407.0,313.2786798523002
p11,p11\face\150.jpg,749.1002,903.41235,891.0,703.0,245.56192733453204
p11,p11\face\151.jpg,742.82367,577.25555,729.0,586.0,16.35723612301248
p11,p11\face\152.jpg,373.44092,795.4309,323.0,732.0,81.04175838148196
p11,p11\face\153.jpg,35.571064,531.84216,62.0,286.0,247.25868917997605
p11,p11\face\154.jpg,971.8259,508.3755,873.0,541.0,104.07171974923111
p11,p11\face\155.jpg,1540.5466,400.72733,1233.0,153.0,394.90979982775815
p11,p11\face\156.jpg,1279.8792,835.05005,1100.0,433.0,440.4551623037242
p11,p11\face\157.jpg,1167.238,342.10785,989.0,107.0,295.0330489962099
p11,p11\face\158.jpg,1307.5989,637.39886,1188.0,572.0,136.3117835836286
p11,p11\face\159.jpg,240.9628,349.90082,144.0,463.0,148.97385335814806
p11,p11\face\160.jpg,1064.4238,760.055,1098.0,590.0,173.33799510457885
p11,p11\face\161.jpg,972.5925,739.377,911.0,255.0,488.2773129841279
p11,p11\face\162.jpg,112.46561,119.58768,109.0,28.0,91.65322403801461
p11,p11\face\163.jpg,367.78006,532.73065,720.0,427.0,367.7470045765159
p11,p11\face\164.jpg,747.1387,273.7302,701.0,193.0,92.98463099653888
p11,p11\face\165.jpg,1336.1466,648.0683,1247.0,579.0,112.77210149234605
p11,p11\face\166.jpg,86.398094,548.78784,14.0,626.0,105.84517547755779
p11,p11\face\167.jpg,916.68884,854.74023,1202.0,638.0,358.2998482416648
p11,p11\face\168.jpg,727.66504,804.2688,606.0,793.0,122.18578962997293
p11,p11\face\169.jpg,1080.1805,710.35547,1031.0,483.0,232.61391698477544
p11,p11\face\170.jpg,1391.8661,529.81134,1100.0,451.0,302.3194321615797
p11,p11\face\171.jpg,151.6551,696.7992,370.0,625.0,229.84694295878725
p11,p11\face\172.jpg,916.94275,360.07648,1108.0,167.0,271.627329718495
p11,p11\face\173.jpg,124.352165,671.1804,134.0,440.0,231.3816517142187
p11,p11\face\174.jpg,642.26404,911.21906,878.0,628.0,368.48944184331793
p11,p11\face\175.jpg,99.72505,257.22406,98.0,162.0,95.23968530108654
p11,p11\face\176.jpg,1216.3684,389.6328,1075.0,280.0,178.8976826551283
p11,p11\face\177.jpg,219.53015,691.3013,251.0,464.0,229.4694287917238
p11,p11\face\178.jpg,668.56995,233.60352,815.0,119.0,185.9454935256566
p11,p11\face\179.jpg,700.6593,736.9879,713.0,541.0,196.37605426196953
p11,p11\face\180.jpg,120.80792,180.5225,91.0,483.0,303.94266009397234
p11,p11\face\181.jpg,142.33798,707.67847,281.0,599.0,176.17651393559814
p11,p11\face\182.jpg,524.01465,845.34753,313.0,409.0,484.69202528512886
p11,p11\face\183.jpg,1125.1394,464.0984,1087.0,355.0,115.57280071723191
p11,p11\face\184.jpg,476.5794,311.29938,309.0,430.0,205.3599165185358
p11,p11\face\185.jpg,1104.5104,387.84695,1081.0,191.0,198.24596070916553
p11,p11\face\186.jpg,1197.1235,194.76273,1126.0,111.0,109.88517622102174
p11,p11\face\187.jpg,934.73096,152.70403,978.0,151.0,43.30258386668456
p11,p11\face\188.jpg,1153.3105,308.42505,1063.0,269.0,98.54100708905405
p11,p11\face\189.jpg,1114.7295,677.458,1033.0,390.0,298.8508328790469
p11,p11\face\190.jpg,1192.2856,278.1453,807.0,60.0,442.7554700396145
p11,p11\face\191.jpg,1227.5084,760.2212,1262.0,631.0,133.74522479793438
p11,p11\face\192.jpg,829.0323,436.06085,765.0,618.0,192.87816953001706
p11,p11\face\193.jpg,685.9308,949.05084,609.0,776.0,189.38040421331874
p11,p11\face\194.jpg,541.1113,392.37817,658.0,192.0,231.97925553807607
p11,p11\face\195.jpg,747.4198,863.6339,628.0,751.0,164.1568954632275
p11,p11\face\196.jpg,1212.6681,598.52856,1170.0,552.0,63.130603866359856
p11,p11\face\197.jpg,459.61456,659.2639,387.0,374.0,294.3609603870731
p11,p11\face\198.jpg,1165.236,493.7609,1035.0,369.0,180.35156639186698
p11,p11\face\199.jpg,461.6474,433.7328,484.0,595.0,162.80894309934268
p11,p11\face\200.jpg,269.99457,1008.8574,476.0,602.0,456.03859828418035
p11,p11\face\201.jpg,873.64685,920.25464,656.0,656.0,342.3458366549826
p11,p11\face\202.jpg,945.06067,563.71625,790.0,492.0,170.84212375757917
p11,p11\face\203.jpg,859.6019,425.36172,956.0,495.0,118.92046564169475
p11,p11\face\204.jpg,1015.1233,462.14514,800.0,411.0,221.11955017309074
p11,p11\face\205.jpg,280.54446,407.88678,159.0,217.0,226.29807845516498
p11,p11\face\206.jpg,333.41632,327.9055,492.0,59.0,312.1841528849599
p11,p11\face\207.jpg,1364.9093,184.16974,1187.0,83.0,204.66322375123968
p11,p11\face\208.jpg,1528.5364,638.6956,1251.0,624.0,277.9251669739536
p11,p11\face\209.jpg,993.4039,179.74641,818.0,150.0,177.90831118163086
p11,p11\face\210.jpg,78.72627,677.5134,137.0,313.0,369.14205852896254
p11,p11\face\211.jpg,1266.4137,450.07822,1262.0,218.0,232.12017866559987
